Epoch,MIA Forget Acc,MIA Retain Acc,MIA Forget F1,MIA Retain F1,MIA Forget Precision,MIA Retain Precision,MIA Forget Recall,MIA Retain Recall,Train Acc,Val Acc,Test Acc,Forget Acc
0,0.8281733746130031,0.8235294117647058,0.8438818565400844,0.8389830508474576,0.7731958762886598,0.7714285714285715,0.9287925696594427,0.9195046439628483,1.0,0.4875,0.4875,1.0
1,0.8204334365325078,0.826625386996904,0.8361581920903954,0.8426966292134831,0.7688311688311689,0.7712082262210797,0.9164086687306502,0.9287925696594427,1.0,0.4875,0.4875,1.0
2,0.8204334365325078,0.8297213622291022,0.8366197183098592,0.8463687150837989,0.7674418604651163,0.7709923664122137,0.9195046439628483,0.9380804953560371,1.0,0.48775,0.48775,1.0
3,0.8219814241486069,0.8281733746130031,0.8377997179125529,0.844319775596073,0.7694300518134715,0.7717948717948718,0.9195046439628483,0.9318885448916409,1.0,0.48775,0.48775,1.0
4,0.8281733746130031,0.8297213622291022,0.843441466854725,0.8450704225352113,0.7746113989637305,0.7751937984496124,0.9256965944272446,0.9287925696594427,1.0,0.4875,0.4875,1.0
5,0.8235294117647058,0.8312693498452013,0.8394366197183099,0.8475524475524475,0.7700258397932817,0.7729591836734694,0.9226006191950464,0.9380804953560371,1.0,0.48725,0.48725,1.0
6,0.8250773993808049,0.8312693498452013,0.8410689170182841,0.8475524475524475,0.770618556701031,0.7729591836734694,0.9256965944272446,0.9380804953560371,1.0,0.48725,0.48725,1.0
7,0.8188854489164087,0.8188854489164087,0.8354430379746836,0.8354430379746836,0.7654639175257731,0.7654639175257731,0.9195046439628483,0.9195046439628483,1.0,0.4865,0.4865,1.0
8,0.8204334365325078,0.8204334365325078,0.8375350140056023,0.8375350140056023,0.7647058823529411,0.7647058823529411,0.9256965944272446,0.9256965944272446,1.0,0.48675,0.48675,1.0
9,0.8250773993808049,0.8297213622291022,0.8415147265077139,0.8463687150837989,0.7692307692307693,0.7709923664122137,0.9287925696594427,0.9380804953560371,1.0,0.487,0.487,1.0
10,0.8219814241486069,0.8250773993808049,0.8382559774964838,0.8415147265077139,0.7680412371134021,0.7692307692307693,0.9226006191950464,0.9287925696594427,1.0,0.48725,0.48725,1.0
11,0.8188854489164087,0.826625386996904,0.8349788434414669,0.8431372549019608,0.7668393782383419,0.7698209718670077,0.9164086687306502,0.9318885448916409,1.0,0.4875,0.4875,1.0
12,0.8235294117647058,0.8219814241486069,0.8394366197183099,0.8377997179125529,0.7700258397932817,0.7694300518134715,0.9226006191950464,0.9195046439628483,1.0,0.48675,0.48675,1.0
13,0.8188854489164087,0.8281733746130031,0.8349788434414669,0.8447552447552448,0.7668393782383419,0.7704081632653061,0.9164086687306502,0.934984520123839,1.0,0.4865,0.4865,1.0
14,0.8095975232198143,0.8281733746130031,0.825531914893617,0.8451882845188284,0.7617801047120419,0.7690355329949239,0.9009287925696594,0.9380804953560371,1.0,0.48625,0.48625,1.0
15,0.8204334365325078,0.8343653250773994,0.8356940509915014,0.8503496503496504,0.7702349869451697,0.7755102040816326,0.913312693498452,0.9411764705882353,1.0,0.4865,0.4865,1.0
16,0.8219814241486069,0.8250773993808049,0.8377997179125529,0.8410689170182841,0.7694300518134715,0.770618556701031,0.9195046439628483,0.9256965944272446,1.0,0.4865,0.4865,1.0
17,0.8126934984520123,0.8297213622291022,0.8273894436519258,0.8455056179775281,0.7671957671957672,0.7737789203084833,0.8978328173374613,0.9318885448916409,1.0,0.48625,0.48625,1.0
18,0.8065015479876161,0.8297213622291022,0.8216833095577746,0.8463687150837989,0.7619047619047619,0.7709923664122137,0.891640866873065,0.9380804953560371,1.0,0.4865,0.4865,1.0
19,0.7972136222910217,0.8219814241486069,0.812051649928264,0.8387096774193549,0.7566844919786097,0.7666666666666667,0.8761609907120743,0.9256965944272446,1.0,0.4865,0.4865,1.0
20,0.7786377708978328,0.8250773993808049,0.7912408759124088,0.8419580419580419,0.7486187845303868,0.7678571428571429,0.8390092879256966,0.9318885448916409,1.0,0.48725,0.48725,1.0
21,0.7848297213622291,0.8204334365325078,0.7964860907759883,0.8356940509915014,0.7555555555555555,0.7702349869451697,0.8421052631578947,0.913312693498452,1.0,0.48675,0.48675,1.0
22,0.7770897832817337,0.8126934984520123,0.788235294117647,0.8278805120910384,0.7507002801120448,0.7657894736842106,0.8297213622291022,0.9009287925696594,1.0,0.4865,0.4865,1.0
23,0.7647058823529411,0.8126934984520123,0.7710843373493976,0.8258992805755395,0.750733137829912,0.771505376344086,0.7925696594427245,0.8885448916408669,1.0,0.4865,0.4865,1.0
24,0.739938080495356,0.8111455108359134,0.7423312883435583,0.8252148997134671,0.7355623100303952,0.768,0.7492260061919505,0.891640866873065,0.999921875,0.48575,0.48575,0.9938080495356038
25,0.6408668730650154,0.6021671826625387,0.6516516516516516,0.5990639625585024,0.6326530612244898,0.6037735849056604,0.6718266253869969,0.5944272445820433,0.762734375,0.39675,0.39675,0.44272445820433437
26,0.5309597523219814,0.4891640866873065,0.6752411575562701,0.6357615894039735,0.5163934426229508,0.4939965694682676,0.9752321981424149,0.891640866873065,0.14265625,0.137,0.137,0.006191950464396285
27,0.5,0.5,0.6666666666666666,0.6666666666666666,0.5,0.5,1.0,1.0,0.099453125,0.10225,0.10225,0.0
28,0.5,0.5,0.6666666666666666,0.6666666666666666,0.5,0.5,1.0,1.0,0.09984375,0.1005,0.1005,0.0
29,0.5,0.5,0.6666666666666666,0.6666666666666666,0.5,0.5,1.0,1.0,0.09984375,0.1005,0.1005,0.0
