Epoch,MIA Forget Acc,MIA Retain Acc,MIA Forget F1,MIA Retain F1,MIA Forget Precision,MIA Retain Precision,MIA Forget Recall,MIA Retain Recall,Train Acc,Val Acc,Test Acc,Forget Acc
0,0.85,0.85,0.8695652173913043,0.8695652173913043,0.7692307692307693,0.7692307692307693,1.0,1.0,0.9993502274204028,0.2946058091286307,0.2946058091286307,1.0
1,0.9,0.9,0.9090909090909091,0.9090909090909091,0.8333333333333334,0.8333333333333334,1.0,1.0,1.0,0.2883817427385892,0.2883817427385892,1.0
2,0.85,0.85,0.8695652173913043,0.8695652173913043,0.7692307692307693,0.7692307692307693,1.0,1.0,1.0,0.3153526970954357,0.3153526970954357,1.0
3,0.85,0.9,0.8571428571428571,0.9090909090909091,0.8181818181818182,0.8333333333333334,0.9,1.0,1.0,0.3112033195020747,0.3112033195020747,1.0
4,0.9,0.9,0.9090909090909091,0.9090909090909091,0.8333333333333334,0.8333333333333334,1.0,1.0,1.0,0.2946058091286307,0.2946058091286307,1.0
5,0.85,0.85,0.8695652173913043,0.8695652173913043,0.7692307692307693,0.7692307692307693,1.0,1.0,1.0,0.3070539419087137,0.3070539419087137,1.0
6,0.85,0.85,0.8695652173913043,0.8695652173913043,0.7692307692307693,0.7692307692307693,1.0,1.0,1.0,0.3049792531120332,0.3049792531120332,1.0
7,0.85,0.85,0.8695652173913043,0.8695652173913043,0.7692307692307693,0.7692307692307693,1.0,1.0,1.0,0.2925311203319502,0.2925311203319502,1.0
8,0.85,0.85,0.8695652173913043,0.8695652173913043,0.7692307692307693,0.7692307692307693,1.0,1.0,1.0,0.2946058091286307,0.2946058091286307,1.0
9,0.9,0.9,0.9090909090909091,0.9090909090909091,0.8333333333333334,0.8333333333333334,1.0,1.0,1.0,0.2842323651452282,0.2842323651452282,1.0
10,0.9,0.9,0.9090909090909091,0.9090909090909091,0.8333333333333334,0.8333333333333334,1.0,1.0,1.0,0.2821576763485477,0.2821576763485477,1.0
11,0.8,0.9,0.8,0.9090909090909091,0.8,0.8333333333333334,0.8,1.0,1.0,0.2925311203319502,0.2925311203319502,1.0
12,0.8,0.85,0.8181818181818182,0.8695652173913043,0.75,0.7692307692307693,0.9,1.0,1.0,0.3091286307053942,0.3091286307053942,1.0
13,0.75,0.85,0.7619047619047619,0.8695652173913043,0.7272727272727273,0.7692307692307693,0.8,1.0,1.0,0.29045643153526973,0.29045643153526973,1.0
14,0.75,0.9,0.7368421052631579,0.9090909090909091,0.7777777777777778,0.8333333333333334,0.7,1.0,1.0,0.29045643153526973,0.29045643153526973,1.0
15,0.8,0.85,0.8181818181818182,0.8695652173913043,0.75,0.7692307692307693,0.9,1.0,1.0,0.3049792531120332,0.3049792531120332,1.0
16,0.75,0.85,0.7619047619047619,0.8695652173913043,0.7272727272727273,0.7692307692307693,0.8,1.0,1.0,0.29045643153526973,0.29045643153526973,1.0
17,0.8,0.85,0.8181818181818182,0.8695652173913043,0.75,0.7692307692307693,0.9,1.0,1.0,0.2863070539419087,0.2863070539419087,1.0
18,0.8,0.9,0.8,0.9090909090909091,0.8,0.8333333333333334,0.8,1.0,1.0,0.29045643153526973,0.29045643153526973,1.0
19,0.8,0.85,0.8181818181818182,0.8695652173913043,0.75,0.7692307692307693,0.9,1.0,1.0,0.2925311203319502,0.2925311203319502,1.0
20,0.7,0.85,0.7,0.8695652173913043,0.7,0.7692307692307693,0.7,1.0,1.0,0.2946058091286307,0.2946058091286307,1.0
21,0.8,0.85,0.8181818181818182,0.8695652173913043,0.75,0.7692307692307693,0.9,1.0,1.0,0.2883817427385892,0.2883817427385892,1.0
22,0.75,0.85,0.7619047619047619,0.8695652173913043,0.7272727272727273,0.7692307692307693,0.8,1.0,1.0,0.2925311203319502,0.2925311203319502,1.0
23,0.8,0.9,0.8,0.9090909090909091,0.8,0.8333333333333334,0.8,1.0,1.0,0.2946058091286307,0.2946058091286307,1.0
24,0.8,0.85,0.8181818181818182,0.8695652173913043,0.75,0.7692307692307693,0.9,1.0,1.0,0.2883817427385892,0.2883817427385892,1.0
25,0.7,0.85,0.7,0.8695652173913043,0.7,0.7692307692307693,0.7,1.0,1.0,0.2966804979253112,0.2966804979253112,1.0
26,0.75,0.85,0.7619047619047619,0.8695652173913043,0.7272727272727273,0.7692307692307693,0.8,1.0,1.0,0.2821576763485477,0.2821576763485477,1.0
27,0.7,0.85,0.7,0.8695652173913043,0.7,0.7692307692307693,0.7,1.0,1.0,0.2925311203319502,0.2925311203319502,1.0
28,0.7,0.85,0.7,0.8695652173913043,0.7,0.7692307692307693,0.7,1.0,1.0,0.2842323651452282,0.2842323651452282,1.0
29,0.7,0.85,0.7,0.8695652173913043,0.7,0.7692307692307693,0.7,1.0,1.0,0.29045643153526973,0.29045643153526973,1.0
